iter	Passed	Remaining
0	171	171311
1	196	98136
2	218	72551
3	240	59765
4	255	50932
5	267	44263
6	275	39114
7	283	35145
8	291	32102
9	299	29669
10	307	27661
11	314	25930
12	322	24492
13	330	23255
14	338	22230
15	345	21277
16	355	20533
17	364	19889
18	372	19218
19	381	18686
20	390	18206
21	399	17739
22	407	17292
23	415	16898
24	423	16535
25	433	16226
26	442	15931
27	450	15642
28	459	15380
29	466	15099
30	474	14847
31	483	14630
32	491	14416
33	500	14221
34	509	14050
35	518	13873
36	527	13723
37	535	13569
38	543	13403
39	552	13263
40	560	13115
41	569	12983
42	577	12863
43	586	12736
44	595	12634
45	604	12534
46	613	12443
47	622	12351
48	631	12257
49	641	12179
50	650	12106
51	660	12040
52	670	11972
53	679	11902
54	688	11829
55	697	11752
56	706	11680
57	714	11602
58	723	11540
59	732	11472
60	741	11411
61	751	11362
62	760	11313
63	769	11254
64	778	11193
65	787	11140
66	796	11093
67	805	11037
68	814	10989
69	824	10952
70	833	10908
71	843	10866
72	852	10823
73	861	10778
74	871	10742
75	880	10701
76	890	10674
77	900	10649
78	910	10614
79	920	10585
80	930	10555
81	940	10527
82	950	10498
83	959	10464
84	969	10435
85	978	10395
86	988	10368
87	997	10341
88	1007	10312
89	1017	10284
90	1026	10250
91	1036	10227
92	1045	10191
93	1054	10164
94	1064	10140
95	1075	10123
96	1087	10122
97	1098	10107
98	1109	10095
99	1122	10098
100	1133	10090
101	1147	10100
102	1159	10094
103	1171	10096
104	1184	10096
105	1196	10093
106	1209	10092
107	1220	10076
108	1232	10078
109	1244	10066
110	1254	10049
111	1264	10024
112	1273	9998
113	1283	9977
114	1293	9952
115	1302	9926
116	1312	9904
117	1321	9881
118	1330	9850
119	1339	9824
120	1349	9805
121	1359	9784
122	1368	9757
123	1377	9733
124	1386	9704
125	1396	9684
126	1405	9662
127	1415	9641
128	1424	9617
129	1433	9591
130	1442	9571
131	1451	9545
132	1461	9526
133	1470	9502
134	1481	9494
135	1491	9478
136	1501	9457
137	1511	9440
138	1521	9421
139	1531	9404
140	1541	9388
141	1550	9369
142	1560	9352
143	1570	9333
144	1579	9315
145	1589	9297
146	1598	9274
147	1608	9256
148	1618	9241
149	1628	9227
150	1638	9213
151	1648	9198
152	1660	9189
153	1670	9178
154	1680	9163
155	1691	9153
156	1702	9138
157	1712	9124
158	1723	9115
159	1734	9104
160	1744	9088
161	1754	9073
162	1764	9059
163	1774	9047
164	1784	9032
165	1794	9014
166	1803	8996
167	1813	8980
168	1822	8963
169	1832	8946
170	1842	8932
171	1852	8916
172	1860	8892
173	1869	8873
174	1879	8859
175	1888	8840
176	1898	8826
177	1907	8807
178	1916	8791
179	1926	8774
180	1935	8759
181	1945	8742
182	1954	8726
183	1964	8710
184	1974	8698
185	1984	8683
186	1993	8665
187	2003	8651
188	2012	8637
189	2022	8622
190	2032	8610
191	2041	8593
192	2051	8577
193	2060	8561
194	2069	8543
195	2078	8525
196	2087	8510
197	2097	8495
198	2106	8478
199	2115	8463
200	2126	8454
201	2137	8445
202	2147	8433
203	2158	8423
204	2169	8414
205	2180	8403
206	2190	8390
207	2201	8382
208	2212	8372
209	2222	8359
210	2232	8349
211	2243	8337
212	2253	8326
213	2264	8315
214	2274	8303
215	2284	8290
216	2292	8272
217	2301	8255
218	2310	8240
219	2318	8221
220	2328	8206
221	2336	8189
222	2345	8172
223	2354	8158
224	2364	8144
225	2373	8129
226	2382	8114
227	2392	8099
228	2401	8085
229	2410	8071
230	2420	8056
231	2429	8040
232	2437	8025
233	2447	8013
234	2457	8001
235	2468	7989
236	2478	7978
237	2488	7965
238	2497	7953
239	2508	7942
240	2517	7928
241	2527	7917
242	2538	7907
243	2547	7893
244	2558	7883
245	2567	7870
246	2577	7859
247	2588	7848
248	2598	7837
249	2607	7823
250	2616	7807
251	2624	7789
252	2633	7774
253	2642	7761
254	2652	7748
255	2661	7735
256	2670	7721
257	2680	7709
258	2690	7696
259	2699	7682
260	2708	7669
261	2718	7656
262	2727	7642
263	2736	7628
264	2745	7615
265	2754	7601
266	2763	7586
